shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,2.859999999999999876e+00,9.443392938153917070e-05,9.443392938153917070e-05,-9.262663286918262776e-05,-9.262663286918262776e-05,5.281685533652636343e-04
0.000000000000000000e+00,2.863999999999999879e+00,9.406440142087700671e-05,9.406440142087700671e-05,-9.213788191734036028e-05,-9.213788191734036028e-05,5.253310792550516068e-04
0.000000000000000000e+00,2.867999999999999883e+00,9.369682206716370963e-05,9.369682206716370963e-05,-9.165232525052254215e-05,-9.165232525052254215e-05,5.225083238881395942e-04
0.000000000000000000e+00,2.871999999999999886e+00,9.333117859284159709e-05,9.333117859284159709e-05,-9.116993811451610326e-05,-9.116993811451610326e-05,5.197001845734801990e-04
0.000000000000000000e+00,2.875999999999999890e+00,9.296745836892675091e-05,9.296745836892675091e-05,-9.069069597641190575e-05,-9.069069597641190575e-05,5.169065593800748403e-04
0.000000000000000000e+00,2.879999999999999893e+00,9.260564886412785883e-05,9.260564886412785883e-05,-9.021457452236547343e-05,-9.021457452236547343e-05,5.141273471296152735e-04
0.000000000000000000e+00,2.883999999999999897e+00,9.224573764397462445e-05,9.224573764397462445e-05,-8.974154965538360664e-05,-8.974154965538360664e-05,5.113624473891948243e-04
0.000000000000000000e+00,2.887999999999999901e+00,9.188771236995460674e-05,9.188771236995460674e-05,-8.927159749313582531e-05,-8.927159749313582531e-05,5.086117604640823979e-04
0.000000000000000000e+00,2.891999999999999904e+00,9.153156079865899070e-05,9.153156079865899070e-05,-8.880469436579012518e-05,-8.880469436579012518e-05,5.058751873905620831e-04
0.000000000000000000e+00,2.895999999999999908e+00,9.117727078093696390e-05,9.117727078093696390e-05,-8.834081681387368433e-05,-8.834081681387368433e-05,5.031526299288365065e-04
0.000000000000000000e+00,2.899999999999999911e+00,9.082483026105823802e-05,9.082483026105823802e-05,-8.787994158615683937e-05,-8.787994158615683937e-05,5.004439905559894932e-04
0.000000000000000000e+00,2.903999999999999915e+00,9.047422727588459647e-05,9.047422727588459647e-05,-8.742204563756152385e-05,-8.742204563756152385e-05,4.977491724590143215e-04
0.000000000000000000e+00,2.907999999999999918e+00,9.012544995404924819e-05,9.012544995404924819e-05,-8.696710612709277323e-05,-8.696710612709277323e-05,4.950680795279000911e-04
0.000000000000000000e+00,2.911999999999999922e+00,8.977848651514451625e-05,8.977848651514451625e-05,-8.651510041579297085e-05,-8.651510041579297085e-05,4.924006163487773969e-04
0.000000000000000000e+00,2.915999999999999925e+00,8.943332526891805106e-05,8.943332526891805106e-05,-8.606600606472016328e-05,-8.606600606472016328e-05,4.897466881971263442e-04
0.000000000000000000e+00,2.919999999999999929e+00,8.908995461447642965e-05,8.908995461447642965e-05,-8.561980083294746331e-05,-8.561980083294746331e-05,4.871062010310372027e-04
0.000000000000000000e+00,2.923999999999999932e+00,8.874836303949721174e-05,8.874836303949721174e-05,-8.517646267558608869e-05,-8.517646267558608869e-05,4.844790614845330759e-04
0.000000000000000000e+00,2.927999999999999936e+00,8.840853911944880205e-05,8.840853911944880205e-05,-8.473596974182946132e-05,-8.473596974182946132e-05,4.818651768609469982e-04
