case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,5.011872336272715e15,0.1,1.0e6,8902.482097591188,19,1.1295105040999507e-16,2.1696478012338095e-33,19,1.400654060977637e-15,-75.21074321800268,true
Battaglia12,5.011872336272715e15,1.0,0.003,4.347544589968596e-6,969,2.536354026474645e-14,0.0013754306097797605,171,4.037609599784627e-11,-6.588988426142409,false
Battaglia12,5.011872336272715e15,1.0,0.1,0.0001449181529989532,779,4.491459191425624e-14,0.0007460359470924669,171,8.983617774647261e-13,-7.200736772470415,false
Battaglia12,5.011872336272715e15,1.0,1.0,0.001449181529989532,665,1.969295812058785e-13,1.3286937584531736e-5,133,2.4721416241970766e-11,-11.228729141850012,false
Battaglia12,5.011872336272715e15,1.0,4.0,0.005796726119958128,627,6.099100268997151e-14,3.674434293708527e-8,133,4.2407108810862455e-11,-17.119281556821328,false
Battaglia12,5.011872336272715e15,1.0,100.0,0.1449181529989532,437,1.0644649217926064e-13,3.6128686532914913e-16,133,4.782524942920913e-12,-35.55685939031882,true
Battaglia12,5.011872336272715e15,1.0,10000.0,14.49181529989532,171,2.4013004847991117e-13,2.8210530099560086e-28,95,2.722235909519444e-13,-63.43527238079677,true
Battaglia12,5.011872336272715e15,1.0,1.0e6,1449.181529989532,19,1.7067213790500945e-16,3.911456097016974e-41,19,4.212265691125197e-16,-93.04207910475435,true
Battaglia12,5.011872336272715e15,5.0,0.003,2.007473115276237e-6,969,2.525409381505683e-14,0.020139426763660536,171,5.600714132578091e-11,-3.905075854675708,false
Battaglia12,5.011872336272715e15,5.0,0.1,6.69157705092079e-5,779,3.810777861462906e-14,0.012668435084007364,171,2.2940838720027378e-12,-4.368641805773376,false
Battaglia12,5.011872336272715e15,5.0,1.0,0.000669157705092079,665,1.780773196590647e-13,0.0003172532769757533,133,1.5452233894782887e-11,-8.055810122106328,false
